task_name,original_id,browsergym_split,difficulty,time_dependency
assistantbench.test.33,43cabfa874351f03a6b8e447d662d9f376acaf582d1d4199303ba58fe2cc03b8,test,,Stable
assistantbench.test.34,444b4f5736fb6f4b45acdc39c1fa4d95158523cad8a8b55ce2b38aad1bd93565,test,,Unlikely
assistantbench.test.35,4542278ae4ab7edb463ba6a449f7d2291b61a75a85a143d741e5fbe25ca27c38,test,,Static
assistantbench.test.36,49f1c6a49bd84673eb9de788ea1f0a9216b83ee0e1a050ab23f8ff599ca32fb1,test,,Unlikely
assistantbench.test.37,4c30210ec132db6c5440d5c70e90c609123191ca7955dd9ae1442e105dd3a154,test,,Unlikely
assistantbench.test.38,4d07734efd01f15c99dc05ec4494b25583be6c58010091acd6ae36b83c31f993,test,,Unlikely
assistantbench.test.39,50fc9972c9c6648079b0d6faf13600524f25e597fc809d174c9648854b2dbf2b,test,,Unlikely
assistantbench.test.40,51f052ecf1c129c98cce8736c9b9fc59e49e92ed4cc96c4669aad49b161322f5,test,,Unlikely
assistantbench.test.41,58d01ca60a4efe2bff799b05dc0b46d5efa63d3f404805fe589e4aec167a3726,test,,Stable
assistantbench.test.42,59a6501b90d8412de25f493dd9f8d1d20c8f26eb499c8d29a7ae6f0a03b72ae5,test,,Static
assistantbench.test.43,5ba9e8b81da502edc0c14326e136d3a9f07d1db0b0b4777858e587985bdadc8c,test,,Unlikely
assistantbench.test.44,60471053b55cf40a543c43836604e06a9cb945234336fca18b8e870de75ce465,test,,Static
assistantbench.test.45,63e9716e42b94e69ca651c5d47bdfb39d5dcee02d69f75888726d53a04342cf7,test,,Unlikely
assistantbench.test.46,66acc3396b14969006688548fa70e8ef9806b728c346d5651e83d73c0d29b71f,test,,Unlikely
assistantbench.test.47,673d1fb3de30b88745818a3c6ea520b2d907eb5e3a9be1a3c702518f93ca2330,test,,Static
assistantbench.test.48,6bcc74f4efcbc88707db17396b85b335d66571568c8af5c7087296e9d5f19aa7,test,,Static
assistantbench.test.49,6bd706878a0924bda9acc9548aaf87ed824d828f74573ffc1450403e0cfeaa7a,test,,Static
assistantbench.test.50,6d314f1ddcc63bead76d11776cf41afa6771f46a02ecbcb15df5134fa1dae4d7,test,,Unlikely
assistantbench.test.51,6d94b7d48a2ba111dc739a63de979a26f87e73120a427e42c06b06e46caf8370,test,,Static
assistantbench.test.52,70d36d42a954465962d7fefd8c296cb71643102a05abb19b4b3d41302007d49a,test,,Stable
assistantbench.test.53,72321c1ada24009b2f8d59de25e7244a478789aa1e53644f9f708c7f963a3da6,test,,Unlikely
assistantbench.test.54,75e6d569f9b7236ab603c588f07ce0b9e0026a652416e049be6e9eefcbe0d974,test,,Static
assistantbench.test.55,76256673b444a783821d6d61344a19bed49ab04bd3c5b6677ab0439896898314,test,,Unlikely
assistantbench.test.56,76387637c6194f5e1cc5a0dee312db9428c40bace01eab2f71320b1a85cb84cc,test,,Stable
assistantbench.test.57,776c768209261a861576db65adecc9086fab01c7a8e473abf605af72f3bcabe7,test,,Unlikely
assistantbench.test.58,7820b1bca5d280bced7ddb5fa86625f8703e117587b93dbebbef617b3b2cd3eb,test,,Static
assistantbench.test.59,7c146b20313069f7f2bf4e6ac0c1dbcff5147c872fec2cf19ee6d2646fe00bf4,test,,Unlikely
assistantbench.test.60,7f7e4dbf7f76346e7cbb5a65e6c88a6b5d513f08cf4d3b223bf3e1c75fa1eb61,test,,Unlikely
assistantbench.test.61,7f9db43f0d971dfd710b2246082e292e92edcadecbaf36699a78edf305d26cb9,test,,Unlikely
assistantbench.test.62,8793b8f5678d16282618f68ae9103f3061c9938a228e5a91d73f64541d35bf0e,test,,Unlikely
assistantbench.test.63,87f591cfe2afe9d227a30af862eb358e2d03c2e735a31ec1c3bb8b782a34abc6,test,,Unlikely
assistantbench.test.64,8869b0e92052103b52e240f0e327ee76964d8ad8b24dc3f63fad803f6b491be3,test,,Unlikely
assistantbench.test.65,8a484653d13418c51be95443374468900f81587c3a64c45ce69dc41b93f1fa7a,test,,Unlikely
assistantbench.test.66,8b68fdf29a1fb5bc6426f32633720127908207bed38ea847768488f34bba7d01,test,,Stable
assistantbench.test.67,8cc61c493af8d1850d3d9e1dafd228a38092751221c016f1d4a80c8e0c203e7f,test,,Static
assistantbench.test.68,8d5e7bd76c993d4ed11ce1e9f9430421f0f3b21ed85287e630af1916069a02b2,test,,Static
assistantbench.test.69,8dcaac8e280e3dccd9c46b0515e3a06fee6f4fb12629acace16b9d690d439124,test,,Static
assistantbench.test.70,91bdaec93e3062279545c24c00b7b7a86968f394e3314cd5c9ddf6cb9a1c3199,test,,Unlikely
assistantbench.test.71,926c0629e6704ed354f6811d4b0f4696450ebad578d20af34f3fbead7319c33b,test,,Unlikely
assistantbench.test.72,9288bf0fa0af3a4319215d3a7ada201e604955abaaab06b4a037129d8d3d0e74,test,,Static
assistantbench.test.73,92bfc3abcf4734fbd629ea16f4981e865edd54408543405cefffdbcc6f39dce7,test,,Unlikely
assistantbench.test.74,96d3a0951e0d24a0ccc714e48b2e46ca0505b38d4cd1cf22e77c8717f9cf7461,test,,Static
assistantbench.test.75,970ed6d1930b0389dd99708c4068899281df1c41182fe998f5b67d057701ae38,test,,Stable
assistantbench.test.76,9755e8f9a5ba24a7365c0bed2e27067c597c7bb3903dc917f10fad8529bbe012,test,,Unlikely
assistantbench.test.77,97aa789e49ed7f7b6499e39a5b46d0e41f3aa11758581d18f7a1e125c2065dca,test,,Static
assistantbench.test.78,9e3ec4235b6c1051c566a0b766a59a6c1a4a373eb9be72910bed6ae3da4d74c2,test,,Unlikely
assistantbench.test.79,9e4fac4a33ca217f6b797428d5341a70d9d3b2621019e0268217ab2f056ccc79,test,,Unlikely
assistantbench.test.80,9f08cc39bed76dd23662beca7184617425cb8a0c47ceccd0556e37fee4781f71,test,,Unlikely
assistantbench.test.81,a174cc55d856ff9a5ff10c0b76685a7aea7d1b7a6f9e7abb87f8b75d9949efbc,test,,Static
assistantbench.test.82,a207a5818db3c03bf9f1400b85428f8ad05a0fb7b227c6ef07393c5cd7f326be,test,,Unlikely
assistantbench.test.83,a39700b8c69fa7e30ec892de05945e8dda571259ca746c36729ee785087def3a,test,,Unlikely
assistantbench.test.84,a4b1d901126ac3c788efde74b18afc9ee6966aa4da0c84c38ccab5a7ff42e6e4,test,,Stable
assistantbench.test.85,a52f55bdb417358d2fb250a7a030039f25897678df5bc96382dfbab2e18b3e6c,test,,Static
assistantbench.test.86,a57418553a8732d8fb2bc4030fb965d4685e7a22da843c3d0db15d64be4de4ef,test,,Stable
assistantbench.test.87,a691d6542027faa5c8039d3528e69a495f84d57e412702c6bfd09aef727bac1e,test,,Stable
assistantbench.test.88,a6c33c56ccd59e637ab68d82ddc99edb22df2e032fdbd4e0c1e1b2cb31c8e610,test,,Stable
assistantbench.test.89,a80d8d1a8a045dff028941009335506c4a8077f4004b53087d5ef8686ddf2d3e,test,,Unlikely
assistantbench.test.90,aa50434ca5a1e320cdc3151a97043b16b00b2107fd20db47e0b6e156a21cf43f,test,,Unlikely
assistantbench.test.91,ab6f0eb1dd556e950503d145888f7d21eeefa22aa421f88f0ead8f422c6dbe85,test,,Static
assistantbench.test.92,adfa9c6fd9601bda6e9250f0ebae684d3bc77d8fdace9638ffea55e137f9bf58,test,,Unlikely
assistantbench.test.93,b15021fcee8c19ed15e23866105379e08d21af2ab9901c235b352bbd51eea0ae,test,,Unlikely
assistantbench.test.94,b233fa687d68f68c3778d70913ba037315e4800af8488df27dbb2335e1c88aa7,test,,Static
assistantbench.test.95,b2ee3c2204f67dc77ee4654004e5ceab813f212c7f542de660640383df096e0d,test,,Stable
assistantbench.test.96,b5658515258cbecfe0f862fdf28e64b5152f6414aee2bb3d356ab648537c1c50,test,,Static
assistantbench.test.97,b67e2e2d5d5a4587adf2ff46c272d26bd3671bd49a346cc9f4111bb6e0162e87,test,,Unlikely
assistantbench.test.98,b81702f7d586a35dcd5dcb8de17cf4aefb26676ab95de013462c349e1bcb9557,test,,Unlikely
assistantbench.test.99,b95fc9d59f8c37f984abf5758b60f8c3638185897db4a4ce5ad34f68ef39faca,test,,Unlikely
assistantbench.test.100,ba529e08a377d308e7f739c2520f62f45d284d701ab94646e8212e93e0dcc8c4,test,,Unlikely
assistantbench.test.101,bcb45d84d33f5867afa826d5aee94c6d42aa4a421877d7848006e892407eeef9,test,,Stable
assistantbench.test.102,c15ccf7b3de5e34a196167ad827905955d4ea961a7a1d67c98de7f4566037f71,test,,Static
assistantbench.test.103,c16027bfc0d580a4b3baa94e54daf80a5726e9bee0a7fd13aabc26e0b295abdd,test,,Unlikely
assistantbench.test.104,c24495d0ec872218e4317ffe1e579f9dd7424f12966926f03a9c45a4769c1919,test,,Static
assistantbench.test.105,c2f852f47ad2a4f1059c87f04262911d497d50b42fc17755ffe4c155baf8cdc2,test,,Unlikely
assistantbench.test.106,c68da637f66c9435d7b645297d004e7e655c1b1d8b750447f6a3e43379e5efb9,test,,Static
assistantbench.test.107,c6b119d6bbd30d8e3954e8e0a49a1f968502976a96634288a14378d31fe7c851,test,,Unlikely
assistantbench.test.108,ce3e51789e74e09de03b77fac57c99a8b8d0abff4736ad57a56178836f8ef677,test,,Static
assistantbench.test.109,d0f910100493471e9b96462b788c2faae3b545a200ca86526dd52ef8cbafdff3,test,,Unlikely
assistantbench.test.110,d108631c8c89136fc6d00d10f2916e1e95e4bfd8c65497bacb597dbad0644127,test,,Unlikely
assistantbench.test.111,d5d57f4fd32a505e5392162dd359f9f6e319908538b0d17fe08a9e0f5ae3d51d,test,,Static
assistantbench.test.112,d60cca1cc5d9c44ac6d125b01cff46e98e75be54a61c26f28358b9a00c83a26c,test,,Static
assistantbench.test.113,d8016940a88d4cbbdf271f6390c56a9b259559595db446ab4a5aef2c44c5a5d0,test,,Unlikely
assistantbench.test.114,d8727993c3e8368640d285f7588bd90ec21157b724e3b7524639f9102fde9fb9,test,,Unlikely
assistantbench.test.115,d8c701789b9c31445e71ebcdfc25e99e98ad43b3c2ad20fae4fc5c51e8eb7a3f,test,,Static
assistantbench.test.116,dadb74122ca1f4f2a706c299d53ad1305756c93245540367ba11c98b2198cdf0,test,,Static
assistantbench.test.117,e046e1ecb2d897b10b9355ed6519475acc1fdd27a3731f5e5f4cbc42e43ac1d1,test,,Static
assistantbench.test.118,e22a10e8fa601d27733915fbecde35bcaa9555c68012f56540da0ad19278d331,test,,Stable
assistantbench.test.119,e2ce46cea9c2cd0dd5ed0e6d7a1610ec68bf8c3e9006797416cf6baec19b98e4,test,,Unlikely
assistantbench.test.120,e57a78ec590a586ccb1c9d89189cd4df967286069b62d6057417549399d6b9f0,test,,Stable
assistantbench.test.121,e59613ccac51f917898f10fb0749b97a3e8d984901f28b6f894db9d910f02eef,test,,Stable
assistantbench.test.122,e6501ed8caf105247280c95a2333ffc0bde2a61a65309e69bef9bae8883258df,test,,Unlikely
assistantbench.test.123,ebc09a58d9394084a8f0279d669d73aba3fbf7e8edbd6d386693ee6c5e81cca1,test,,Unlikely
assistantbench.test.124,ebcc923f8ae80c6de586a23b6404a535c588a448a2e7c03a0969fd8e8dfb8e2b,test,,Unlikely
assistantbench.test.125,ecdc2383f4488a541abba98f96a3358690fca9c3efc2f0290e5d7c1ac1867503,test,,Stable
assistantbench.test.126,ee192f50280bec36dfc5d55189fa387e5e132c10bdee78c667f663d5312cbda9,test,,Static
assistantbench.test.127,f042bfc06dd124cc7cc9afd2aa52ed833ebfa52c3bae3960a44b510205339d2a,test,,Unlikely
assistantbench.test.128,f15306770885cb221cf7cd3ec70b9c2392c1203c5b27964d7fb89abc697f744a,test,,Unlikely
assistantbench.test.129,f16dd8c68dcc27ea386f49f8cbb6e46d1c9ede8a8c20b3416ddae1483eb38b09,test,,Unlikely
assistantbench.test.130,f2ad18f19a73373c045005eae481764f38c13e8f64cf0ed90b3397aceb58fefc,test,,Unlikely
assistantbench.test.131,f3fb20397a1201d3e58de4f53e38ffb4dedc090e3c342a6bd558b0a1cba614f5,test,,Unlikely
assistantbench.test.132,f4fc8f368e10632804fd5f9e2d2d0d506dba45cced9f95bd4bdaea114d230289,test,,Static
assistantbench.test.133,f5661ee525eab51c375d0cff9e90f26c96aafd1d887e6b1ec5fb6b15cbd87fb3,test,,Stable
assistantbench.test.134,f5c7873d18ea96a6238d634ba0ce7b1ea6f97f4051505a3ba90ce7f8a3576aa7,test,,Unlikely
assistantbench.test.135,f67d32cf78da634d3768e756b35d764a1e3ff09fc112c908169a9da4a6f84f98,test,,Static
assistantbench.test.136,f69d3a64ae8bedb2ef8f5de93f2d520e36cf1ee10a1f9b51e6124974069f2706,test,,Unlikely
assistantbench.test.137,fc690d6696aff2366deb4a1c06e47234194f0261e4d5cc612008d56a995b5beb,test,,Static
assistantbench.test.138,fcf91c5116e20ee62b4e3f6048840b74656b561a0470efbe092f63b30cf1258b,test,,Static
assistantbench.test.139,0424b13f1c22b6e47f4c78425cdbb39eb2bf047320d75cf25816565e0b41fd25,test,,Stable
assistantbench.test.140,044052ab125aa7ed35c4fb10696343579271406b0f65b4575392215f6ee3f641,test,,Static
assistantbench.test.141,08ee947e090b200813e4bd343f2520bb7f00488c2dc445e884a50d98594ac862,test,,Static
assistantbench.test.142,0c354eb213bf907ac34070d6487bbe81f19b5e8c1a0f0734089cf6dc6f3d233d,test,,Stable
assistantbench.test.143,101edfc8d8c9912af10e624f36c1a6936cd542c52bfab81efe739cdc9dff6e21,test,,Static
assistantbench.test.144,1a0f1343f6e98b50b917d06e60afdaf9200ab74929b2972bf5212df2d5b15187,test,,Static
assistantbench.test.145,1c19711ea4234efd73f43f659729d7dae8219200e6145886e2d24ed256ceb5c6,test,,Stable
assistantbench.test.146,35d9cdcde8a6ebe15a149b8243cde068677f2c3a15e9633b6ea14f71f7137dd0,test,,Static
assistantbench.test.147,3b9b30d3d138413bd8f39eae7c6bcdf10cc09fe76c003c36ef7c00db90058995,test,,Static
assistantbench.test.148,491baea240075e656d514bf13d8c626a9d0481c9ecf2aba65d0c5529dea147a3,test,,Stable
assistantbench.test.149,5a51e05719b356ab3597aa50e3d057eb67ef3530fd2092fac0eaabd4b343bea4,test,,Static
assistantbench.test.150,5cf78b0b055bf7eeb908733cb0e55b358b1528474529a28f22157bf6679886c3,test,,Static
assistantbench.test.151,6689e6704ab8ed0342f743ff39cde31b5f0a4e5c2b3bb2433297d4dc98f68740,test,,Static
assistantbench.test.152,691fe10f8d4591afebc7b0e7a3deee0110228e963860190fdafe547c92016901,test,,Static
assistantbench.test.153,6fe7c0ab1c913049f5df7a9f7d08b0c52aa64f6c6c4b7e072dec7430ca359f72,test,,Stable
assistantbench.test.154,79c3314323758e2993a66e3d7d96bafd3bdc4c8aca1d45331bf0af383d115cc0,test,,Static
assistantbench.test.155,7ad7df047c75ac3a018164d324c9e3d2883a714e0717c971f1790d8342826ede,test,,Static
assistantbench.test.156,8339e24137e11ee7f32860160a178fceed447a396340c0e78cca077342a2be67,test,,Static
assistantbench.test.157,85b57e54837272d56c15f08f96d94f1d9d20cc3c3865b0e61fcdad6f4ac64b99,test,,Static
assistantbench.test.158,8905eaca3a6d15357a43fd6b865a86bf37f3b8d53a3beac8f72fe70d6d22cac9,test,,Static
assistantbench.test.159,8d0987af49f3c27e6ef32560bf1b15cbe1bcc7aef2e4a87aae6e4e023aed9b45,test,,Static
assistantbench.test.160,93561818306180f8698c6eb458b1c7caa83fbe70773ad53671558ec45c84876f,test,,Stable
assistantbench.test.161,a5511d3db1c395d7afeef42673a3e879e23a15724d5b6f82ea09455802a15a77,test,,Static
assistantbench.test.162,a81ef982012db796f00201a00e481095125d1c5f69e4ff42600d5fdd21f1f5f4,test,,Stable
assistantbench.test.163,b2205067ed4642bd95a20615545208c02c2498f4abc1706b0f990db2bec322bf,test,,Stable
assistantbench.test.164,be5c2371a2179ae4da25f29a1e1f1443094073e81e933ec558dd92cb62344d7b,test,,Static
assistantbench.test.165,c5c3d63fe2f2ec781aa73cad6f0be6936ef24847fca348277757262f4eb55ab6,test,,Static
assistantbench.test.166,c8f38296bd5974997bd23297d0766b26b7f1d8c92a84ff42099e01c1775f431c,test,,Static
assistantbench.test.167,cfc177dec35af2101aa17b0c324750cb72da7191e698403cceb7e5658eb34b5b,test,,Static
assistantbench.test.168,d10a3eeabe14c9f44b7a65225bcd8f505af96040fa53f846747a942208334993,test,,Static
assistantbench.test.169,d3e4a7ef9d623ed2fafe06c1937a8bdc20d361c084820e151bd6c3dceebf5dcf,test,,Static
assistantbench.test.170,d983c69d1a9b88ca3e4b9648ecb4506ae18bb185b761d064729645180dd96e60,test,,Static
assistantbench.test.171,dfac84ded5eac1752ebb305283798fee70bd8458cf1a65dbadebe2dfbdb4f5e2,test,,Static
assistantbench.test.172,e4a7fe2433ca2ace294e0bd52db091235ca7353332420203da1b695d07bc54fa,test,,Static
assistantbench.test.173,e51bca317cc7dfd2ddb2c462704ff3e83330ecc51b67b0b2284e0ea88d792f10,test,,Static
assistantbench.test.174,e54171e7ef59310ae782ad3555be003cdda83b1c07103c0da97b4d16a5559a1f,test,,Static
assistantbench.test.175,e7bcaaf48effbe281663cc76b4a72cbdbafc8dab9f25d8cc0cd746f8af1a5c77,test,,Static
assistantbench.test.176,eefe2359b1f4cd0f3dae302db7a4fee6249b8dc5562ac5b80fd07339abfc6100,test,,Static
assistantbench.test.177,efa10fe10864192ed4b6fa9fd159b1291de7234d9eb72cd634441a167ab0577f,test,,Stable
assistantbench.test.178,f508fd3078da20d51d4ae2bc5899a0127cbbf6723af48aa69672d56b5c330b9c,test,,Static
assistantbench.test.179,f94fa0a81aedde2ba39236a7f64988dbfa92a41a19f26f0caca81f55404de8ce,test,,Static
assistantbench.test.180,fa51a77611c4e13058d24aa0c693458380d5bc3b34d6cd2cdd074920e86fa45d,test,,Stable
